SATZART;AGS;LAND;RB;KREIS;BEV;ERWERBST;ERWERBSL;NERWERB;ERW18;ERW18_29;ERW30_49;ERW50_64;ERW65;ERWOAUS;ERWBERUF;ERWHOCH
;00;Bund;Gesamt;Gesamt;79652370;39985940;2140860;37525570;452840;7739460;19179270;11271340;1343030;7282670;25051180;7652100
10;01;Schleswig-Holstein;Gesamt;Gesamt;2781010;1378920;72950;1329140;19250;249800;666900;386530;56450;263820;891590;223500
40;01001;Schleswig-Holstein;Gesamt;Flensburg, Stadt;81780;40290;3280;38210;/;10340;17320;10770;1370;9800;23120;7370
40;01002;Schleswig-Holstein;Gesamt;Kiel, Landes-hauptstadt;234550;114590;9800;110160;/;30650;52700;26940;3390;27810;61670;25110
40;01003;Schleswig-Holstein;Gesamt;Lübeck, Hansestadt;208000;100920;8200;98880;/;22040;48640;25250;3820;22690;60410;17820
40;01004;Schleswig-Holstein;Gesamt;Neumünster, Stadt;76280;36020;2880;37380;/;7780;16920;9850;1090;7620;24730;3660
40;01051;Schleswig-Holstein;Gesamt;Dithmarschen;132920;60780;3710;68430;1170;10290;28260;18410;2660;11750;42120;6910
40;01053;Schleswig-Holstein;Gesamt;Herzogtum Lauenburg;186110;92570;4420;89120;1110;14800;45650;27170;3840;17460;59550;15560
40;01054;Schleswig-Holstein;Gesamt;Nordfriesland;163010;81840;3280;77890;1520;15010;38920;22190;4200;14670;58070;9100
40;01055;Schleswig-Holstein;Gesamt;Ostholstein;196400;96350;4390;95660;1510;15210;45220;28770;5640;17990;65880;12470
40;01056;Schleswig-Holstein;Gesamt;Pinneberg;295380;151310;6620;137450;1800;26410;73600;42800;6700;29280;96310;25720
40;01057;Schleswig-Holstein;Gesamt;Plön;127150;61860;3070;62220;980;9030;30900;18140;2810;10250;41960;9650
40;01058;Schleswig-Holstein;Gesamt;Rendsburg-Eckernförde;267890;132540;5720;129630;2090;20680;66810;38110;4860;21590;85680;25270
40;01059;Schleswig-Holstein;Gesamt;Schleswig-Flensburg;194220;94600;4600;95020;1620;15360;45770;27790;4060;17960;64170;12470
40;01060;Schleswig-Holstein;Gesamt;Segeberg;258430;132690;5230;120510;1970;22360;65810;37760;4790;24240;88360;20090
40;01061;Schleswig-Holstein;Gesamt;Steinburg;130000;64680;3610;61710;1040;11420;31090;18850;2280;11370;45110;8200
40;01062;Schleswig-Holstein;Gesamt;Stormarn;228890;117880;4130;106870;1500;18390;59280;33760;4960;19320;74450;24110
10;02;Hamburg;Gesamt;Gesamt;1693120;861970;58660;772480;6590;187940;438580;198830;30020;180890;436060;245020
40;02000;Hamburg;Gesamt;Hamburg, Freie und Hansestadt;1693120;861970;58660;772480;6590;187940;438580;198830;30020;180890;436060;245020
10;03;Niedersachsen;Gesamt;Gesamt;7723680;3791120;191330;3741230;47400;713530;1826590;1070610;132980;738120;2446760;606230
20;031;Niedersachsen;Braunschweig;Gesamt;1565800;738180;45060;782560;7260;142050;358520;210440;19910;142280;465320;130580
40;03101;Niedersachsen;Braunschweig;Braunschweig, Stadt;240350;116830;8200;115320;/;26390;58860;28520;2270;22860;61240;32730
40;03102;Niedersachsen;Braunschweig;Salzgitter, Stadt;98470;41350;3580;53540;/;8000;19480;12770;950;9520;28080;3750
40;03103;Niedersachsen;Braunschweig;Wolfsburg, Stadt;119220;56910;3140;59170;/;14530;26460;14330;1010;13630;34060;9220
40;03151;Niedersachsen;Braunschweig;Gifhorn;169860;82430;3670;83760;1170;15010;41420;22900;1920;15930;54510;11990
40;03152;Niedersachsen;Braunschweig;Göttingen;246160;118770;7360;120020;1210;25410;54480;34020;3660;23300;68000;27480
40;03153;Niedersachsen;Braunschweig;Goslar;139160;62710;4600;71850;590;10880;29600;19460;2180;11430;42050;9230
40;03154;Niedersachsen;Braunschweig;Helmstedt;90920;42620;2210;46090;440;7550;20900;12790;940;8010;29060;5540
40;03155;Niedersachsen;Braunschweig;Northeim;136790;63490;3810;69490;700;10560;30110;20330;1790;11780;43850;7860
40;03156;Niedersachsen;Braunschweig;Osterode am Harz;76160;34240;2220;39690;/;5100;15950;11160;1660;5320;25540;3380
40;03157;Niedersachsen;Braunschweig;Peine;129670;61970;3300;64400;520;10240;31750;17840;1630;11360;42170;8440
40;03158;Niedersachsen;Braunschweig;Wolfenbüttel;119040;56860;2960;59220;740;8380;29520;16320;1900;9140;36760;10960
20;032;Niedersachsen;Hannover;Gesamt;2079440;1017480;58280;1003690;10200;186100;494340;287350;39490;195460;632040;189980
40;03241;Niedersachsen;Hannover;Region Hannover;1094760;542890;32290;519580;5000;104630;265860;145830;21580;106320;311860;124710
