,mtknr,avg
0,1,31.0
1,2,19.0
2,7,20.0
3,8,15.0
4,12,10.0
5,15,24.0
6,18,32.0
7,19,30.0
8,21,28.0
9,22,30.0
10,23,25.0
11,26,26.0
12,31,30.0
13,36,34.0
14,40,38.0
15,41,15.0
16,43,30.0
17,46,29.0
18,47,41.0
19,49,25.0
20,52,34.0
21,57,33.0
22,59,16.0
23,63,29.0
24,64,36.0
25,66,35.0
26,68,27.0
27,74,41.0
28,76,42.0
29,77,50.0
30,78,18.0
31,80,28.0
32,87,28.0
33,89,27.0
34,91,19.0
35,97,28.0
36,102,30.0
37,107,42.0
38,108,44.0
39,113,26.0
40,121,28.0
41,122,29.0
42,125,36.0
43,129,36.0
44,132,32.0
45,134,19.0
46,135,21.0
47,145,18.0
48,147,39.0
49,161,30.0
50,177,30.0
51,179,15.0
52,188,24.0
53,197,18.0
54,201,36.0
55,210,14.0
56,211,48.0
57,212,28.0
58,213,15.0
59,214,19.0
60,217,28.0
61,225,19.0
62,226,18.0
63,237,22.0
64,238,15.0
65,242,17.0
66,254,27.0
67,256,23.0
68,259,28.0
69,265,36.0
70,274,21.0
71,281,20.0
72,283,20.0
73,284,44.0
74,291,45.0
75,297,29.0
76,305,20.0
77,306,41.0
78,307,23.0
79,309,35.0
80,312,20.0
81,314,20.0
82,315,22.0
83,318,20.0
84,319,28.0
85,321,41.0
86,324,27.0
87,330,24.0
88,334,38.0
89,336,22.0
90,337,27.0
91,344,37.0
92,349,27.0
93,357,43.0
94,359,28.0
95,360,38.0
96,365,26.0
97,378,27.0
98,379,35.0
99,381,26.0
100,382,22.0
101,385,22.0
102,386,27.0
103,387,22.0
104,389,18.0
105,410,28.0
106,416,23.0
107,427,38.0
108,431,40.0
109,432,20.0
110,442,25.0
111,443,26.0
112,449,19.0
113,455,43.0
114,464,29.0
115,465,23.0
116,467,27.0
117,472,45.0
118,476,27.0
119,480,31.0
120,481,24.0
121,488,50.0
122,492,20.0
123,499,29.0
124,501,37.0
125,508,24.0
126,509,31.0
127,519,22.0
128,524,40.0
129,527,29.0
130,529,28.0
131,532,27.0
132,535,12.0
133,540,27.0
134,542,22.0
135,549,16.0
136,554,34.0
137,556,32.0
138,557,19.0
139,559,15.0
140,561,19.0
141,571,25.0
142,578,27.0
143,580,20.0
144,582,43.0
145,585,18.0
146,602,15.0
147,610,
148,611,26.0
149,613,33.0
150,627,17.0
151,628,24.0
152,631,25.0
153,635,33.0
154,637,28.0
155,638,36.0
156,648,43.0
157,651,29.0
158,661,20.0
159,663,13.0
160,668,39.0
161,673,23.0
162,677,27.0
163,679,50.0
164,680,35.0
165,682,32.0
166,683,26.0
167,687,30.0
168,699,25.0
169,703,30.0
170,704,49.0
171,706,22.0
172,707,19.0
173,709,20.0
174,710,30.0
175,711,45.0
176,717,14.0
177,723,23.0
178,736,34.0
179,737,26.0
180,739,37.0
181,740,19.0
182,743,17.0
183,745,21.0
184,747,
185,748,23.0
186,749,38.0
187,755,23.0
188,757,18.0
189,766,30.0
190,769,17.0
191,770,20.0
192,772,20.0
193,774,40.0
194,780,33.0
195,782,38.0
196,785,14.0
197,786,38.0
198,789,32.0
199,792,42.0
200,795,24.0
201,809,32.0
202,811,32.0
203,812,21.0
204,815,29.0
205,818,27.0
206,819,33.0
207,820,18.0
208,822,23.0
209,823,30.0
210,824,21.0
211,826,23.0
212,828,34.0
213,829,24.0
214,831,25.0
215,841,19.0
216,845,28.0
217,854,19.0
218,867,25.0
219,870,36.0
220,874,35.0
221,876,26.0
222,879,31.0
223,882,27.0
224,885,36.0
225,888,35.0
226,901,33.0
227,919,28.0
228,921,27.0
229,922,21.0
230,930,41.0
231,932,32.0
232,946,27.0
233,952,26.0
234,957,11.0
235,958,20.0
236,959,14.0
237,960,21.0
238,961,37.0
239,962,36.0
240,964,42.0
241,965,34.0
242,972,36.0
243,973,44.0
244,975,19.0
245,977,32.0
246,986,26.0
247,988,21.0
248,990,15.0
249,992,19.0
250,995,18.0
251,997,33.0
252,999,33.0
253,1005,50.0
254,1010,37.0
255,1014,27.0
256,1021,50.0
257,1022,36.0
258,1023,23.0
259,1024,20.0
260,1033,19.0
261,1040,27.0
262,1051,48.0
263,1057,40.0
264,1062,50.0
265,1063,28.0
266,1064,40.0
267,1065,22.0
268,1067,35.0
269,1068,46.0
270,1074,41.0
271,1075,35.0
272,1077,30.0
273,1081,27.0
274,1082,40.0
275,1084,29.0
276,1089,16.0
277,1092,20.0
278,1095,32.0
279,1101,27.0
280,1107,33.0
281,1110,22.0
282,1114,16.0
283,1130,24.0
284,1134,19.0
285,1138,44.0
286,1142,38.0
287,1147,20.0
288,1148,28.0
289,1149,30.0
290,1151,33.0
291,1153,33.0
292,1160,23.0
293,1161,32.0
294,1162,14.0
295,1163,33.0
296,1172,42.0
297,1177,21.0
298,1178,35.0
299,1180,18.0
300,1183,35.0
301,1186,42.0
302,1189,27.0
303,1193,21.0
304,1199,42.0
305,1201,17.0
306,1202,34.0
307,1203,31.0
308,1209,24.0
309,1213,25.0
310,1215,20.0
311,1223,13.0
312,1226,33.0
313,1235,33.0
314,1252,14.0
315,1258,28.0
316,1262,29.0
317,1264,19.0
318,1265,31.0
319,1270,33.0
320,1273,23.0
321,1274,44.0
322,1282,26.0
323,1285,24.0
324,1288,33.0
325,1290,22.0
326,1293,22.0
327,1294,34.0
328,1312,18.0
329,1314,37.0
330,1315,32.0
331,1317,45.0
332,1318,28.0
333,1319,34.0
334,1329,15.0
335,1334,24.0
336,1337,38.0
337,1338,32.0
338,1342,26.0
339,1346,24.0
340,1349,29.0
341,1354,20.0
342,1356,50.0
343,1359,22.0
344,1360,
345,1371,38.0
346,1374,32.0
347,1377,22.0
348,1387,42.0
349,1392,32.0
350,1399,28.0
351,1400,36.0
352,1402,21.0
353,1407,19.0
354,1408,26.0
355,1410,36.0
356,1411,22.0
357,1412,24.0
358,1414,12.0
359,1416,14.0
360,1426,23.0
361,1429,44.0
362,1430,24.0
363,1436,24.0
364,1441,22.0
365,1447,20.0
366,1448,19.0
367,1450,19.0
368,1451,33.0
369,1456,27.0
370,1458,42.0
371,1462,35.0
372,1468,29.0
373,1475,36.0
