,mtknr,hzb
0,6240,260.0
1,5473,370.0
2,6189,400.0
3,3999,280.0
4,4859,230.0
5,2499,310.0
6,7227,
7,384,340.0
8,2408,210.0
9,5206,250.0
10,221,230.0
11,3433,320.0
12,6072,230.0
13,4220,170.0
14,6472,320.0
15,82,290.0
16,7194,300.0
17,1492,220.0
18,4625,270.0
19,4922,280.0
20,4247,220.0
21,7376,340.0
22,6767,250.0
23,1804,170.0
24,3622,300.0
25,729,300.0
26,6573,230.0
27,4551,400.0
28,5282,310.0
29,6060,250.0
30,2743,280.0
31,1285,230.0
32,5154,280.0
33,5555,260.0
34,5075,250.0
35,5209,280.0
36,3792,320.0
37,1911,200.0
38,823,270.0
39,4124,310.0
40,258,210.0
41,531,340.0
42,1320,260.0
43,648,350.0
44,5557,210.0
45,7280,270.0
46,4342,170.0
47,2637,270.0
48,1648,320.0
49,4327,290.0
50,6881,290.0
51,180,230.0
52,3388,250.0
53,927,240.0
54,4756,320.0
55,7159,400.0
56,4420,350.0
57,3016,310.0
58,1015,230.0
59,1910,340.0
60,4451,210.0
61,5392,250.0
62,7002,300.0
63,418,270.0
64,949,350.0
65,3565,340.0
66,5190,270.0
67,522,320.0
68,5834,180.0
69,7460,220.0
70,5319,340.0
71,63,260.0
72,5971,400.0
73,3679,250.0
74,5664,280.0
75,1976,220.0
76,4882,400.0
77,1707,330.0
78,6191,400.0
79,2135,300.0
80,115,270.0
81,4440,180.0
82,3447,160.0
83,4234,260.0
84,5477,320.0
85,575,260.0
86,4276,240.0
87,2621,240.0
88,2502,220.0
89,6494,400.0
90,1778,260.0
91,2165,250.0
92,5356,250.0
93,1246,300.0
94,6699,320.0
95,920,290.0
96,5403,400.0
97,1797,280.0
98,2463,290.0
99,480,250.0
100,6036,260.0
101,16,190.0
102,2025,310.0
103,1123,210.0
104,5044,360.0
105,1658,320.0
106,2421,280.0
107,6567,400.0
108,7291,260.0
109,5053,350.0
110,5842,290.0
111,2458,260.0
112,3479,230.0
113,6550,300.0
114,2609,330.0
115,5943,220.0
116,5763,280.0
117,347,240.0
118,2105,320.0
119,6876,380.0
120,4060,250.0
121,365,240.0
122,6845,280.0
123,1559,320.0
124,5810,350.0
125,6789,
126,6585,250.0
127,4428,220.0
128,1418,220.0
129,1655,180.0
130,4233,250.0
131,7272,320.0
132,1220,250.0
133,750,250.0
134,2392,300.0
135,1635,240.0
136,7074,240.0
137,2178,280.0
138,416,320.0
139,7228,400.0
140,3280,290.0
141,53,330.0
142,5760,300.0
143,2470,170.0
144,774,350.0
145,5355,230.0
146,994,270.0
147,3735,210.0
148,338,400.0
149,3710,130.0
150,4582,280.0
151,5295,280.0
152,1772,210.0
153,6967,400.0
154,5011,210.0
155,5773,220.0
156,5520,210.0
157,2978,290.0
158,1788,280.0
159,4749,240.0
160,887,250.0
161,3727,280.0
162,5364,200.0
163,1341,300.0
164,5433,170.0
165,3014,250.0
166,55,400.0
167,202,330.0
168,2488,250.0
169,3037,400.0
170,6779,320.0
171,4896,170.0
172,6055,240.0
173,3836,320.0
174,5418,330.0
175,190,290.0
176,4478,270.0
177,3190,260.0
178,4532,230.0
179,2784,320.0
180,6048,340.0
181,6812,380.0
182,2868,200.0
183,5918,400.0
184,4810,190.0
185,4596,250.0
186,4435,150.0
187,3654,280.0
188,1085,290.0
189,4820,400.0
190,4673,400.0
191,4552,210.0
192,4380,240.0
193,4054,330.0
194,6358,310.0
195,588,240.0
196,2503,400.0
197,5585,350.0
198,4860,290.0
199,1206,240.0
200,2864,230.0
201,4190,240.0
202,6511,190.0
203,5203,220.0
204,7547,400.0
205,506,270.0
206,3841,210.0
207,6491,250.0
208,3419,340.0
209,755,280.0
210,2891,260.0
211,7169,310.0
212,1856,250.0
213,5600,320.0
214,367,280.0
215,337,250.0
216,6210,250.0
217,2398,400.0
218,5332,300.0
