,mtknr,geschl
0,3025,M
1,78,W
2,7456,W
3,7559,M
4,7560,W
5,7561,M
6,7562,M
7,7563,M
8,7564,W
9,7565,W
10,4382,M
11,633,W
12,4679,W
13,4300,M
14,7566,W
15,7567,W
16,3567,W
17,7568,M
18,5636,W
19,6661,W
20,4412,W
21,7569,M
22,7300,W
23,7570,M
24,7571,W
25,1952,M
26,7572,M
27,5982,W
28,4100,M
29,7537,M
30,6103,M
31,4958,W
32,7573,M
33,1919,W
34,1282,W
35,7574,W
36,6282,M
37,4999,M
38,7575,W
39,328,W
40,7576,M
41,7577,W
42,4500,M
43,7578,W
44,7579,M
45,7580,W
46,7581,M
47,1726,M
48,1846,M
49,7582,W
50,7583,W
51,7584,W
52,772,M
53,7585,M
54,1593,W
55,7586,M
56,3365,M
57,7587,M
58,4374,W
59,3437,W
60,7301,W
61,7588,W
62,6985,W
63,7589,W
64,7590,W
65,7591,M
66,7592,W
67,7593,W
68,6424,M
69,4576,M
70,7594,W
71,7595,W
72,6568,M
73,3636,M
74,7596,M
75,7597,M
76,3221,M
77,7598,M
78,3698,M
79,7035,W
80,7599,W
81,7600,M
82,1802,W
83,7601,W
84,7602,W
85,2397,W
86,4110,W
87,7603,W
88,6161,W
89,4513,W
90,7128,W
91,7604,M
92,7605,W
93,7606,W
94,7117,M
95,7607,W
96,7608,W
97,1671,M
98,7609,M
99,7610,W
100,7611,W
101,6712,W
102,1949,W
103,7612,W
104,7613,W
105,5987,M
106,429,W
107,7614,M
108,6980,W
109,5447,W
110,7615,W
111,7616,W
112,2914,W
113,791,W
114,7617,M
115,5133,W
116,7618,W
117,7619,M
118,7363,W
119,6449,W
120,7620,M
121,7621,M
122,5123,M
123,7622,M
124,7623,W
125,7624,M
126,7625,M
127,7626,M
128,7627,W
129,7628,M
130,7629,M
131,7630,W
132,7631,M
133,7632,M
134,1175,M
135,7633,M
136,7634,M
137,7635,W
138,5367,W
139,4222,M
140,3006,W
141,7636,W
142,5028,M
143,1759,M
144,7637,W
145,4467,M
146,7638,M
147,7639,W
148,7640,M
149,7641,W
150,7642,W
151,7643,M
152,707,W
153,7644,M
154,7645,M
155,3143,W
156,7646,M
157,4584,M
158,7647,M
159,671,W
160,4618,M
161,7648,W
162,7649,M
163,2263,M
164,7650,W
165,1449,W
166,3590,M
167,196,W
168,7651,W
169,7652,M
170,7653,M
171,1757,M
172,1990,M
173,7654,M
174,7655,W
175,7656,W
176,2761,M
177,7657,M
178,1281,M
179,1825,M
180,6808,M
181,507,M
182,636,W
183,7658,M
184,1154,M
185,7659,W
186,7660,W
187,7467,M
188,2742,M
189,5947,W
190,7661,M
191,7662,W
192,2336,M
193,7663,W
194,1798,W
195,2150,M
196,6531,M
197,7664,M
198,3292,M
199,1816,W
200,7665,M
201,2894,M
202,7264,M
203,7666,W
204,7667,M
205,7668,W
206,4316,W
207,6886,W
208,3166,M
209,4540,W
210,2186,M
211,3512,M
212,3327,M
213,7669,M
214,4656,M
215,7670,W
216,869,W
217,3211,M
218,7671,M
219,5023,M
220,7672,W
221,7673,M
222,7674,W
223,7675,M
224,6332,W
225,7676,M
226,4831,M
227,5769,M
228,6440,M
229,5415,W
230,2831,W
231,7423,M
232,7677,W
233,7678,M
234,7076,W
235,7530,W
236,7679,W
237,7680,W
238,4566,M
239,1404,W
240,380,M
241,7425,W
242,7681,W
243,7682,W
244,7683,W
245,7684,W
246,7685,W
247,7686,W
248,5095,M
249,4870,M
250,7687,W
251,4134,M
252,7688,W
253,7689,M
254,7690,M
255,7216,W
256,7691,M
257,7692,W
258,6650,W
259,7693,M
260,6498,M
261,7694,W
262,6415,M
263,7695,W
264,7696,M
265,1737,M
266,7697,W
267,7698,M
268,7699,W
269,4206,W
270,3600,W
271,7700,M
272,7701,W
273,1744,W
274,3942,M
275,7702,W
276,2350,W
277,7703,W
278,7704,W
279,7705,W
280,7706,M
281,7707,M
282,7005,W
283,7708,M
284,7709,M
285,2532,W
286,7710,M
287,5555,M
288,7711,W
289,7712,W
290,7713,M
291,4081,W
292,5130,W
293,7714,M
294,7715,M
295,7716,M
296,428,M
297,706,M
298,7717,M
299,7718,M
300,5878,M
301,7719,M
302,2509,M
303,7720,M
304,4273,M
305,7721,M
306,5335,M
307,7722,W
308,5876,W
309,7723,M
310,7724,W
311,7725,M
312,7726,M
313,7165,M
314,4457,W
315,7727,W
316,7728,W
317,7729,M
318,7730,W
319,7731,M
320,7732,W
321,1494,M
322,7733,M
323,7734,M
324,7735,W
325,7736,M
326,7737,M
327,2337,W
328,7738,M
329,6267,M
330,1061,M
331,1301,W
332,4279,M
333,7739,W
334,7540,M
335,7740,M
336,7741,M
337,7742,W
338,7743,W
339,7744,M
340,6479,W
341,7745,M
342,3733,M
343,7746,W
344,4059,W
345,6651,M
346,7747,W
347,7748,M
348,2351,M
349,1694,M
350,7749,M
351,2257,W
352,7750,W
353,7751,M
354,7752,M
355,7753,M
356,693,W
357,7754,M
358,6961,W
359,7755,M
360,7756,W
361,7757,M
362,1018,M
363,6125,M
364,7758,M
365,7759,W
366,4680,M
367,7760,M
368,7761,M
369,7762,M
370,7763,W
371,3578,W
372,7764,M
373,7765,M
374,7766,W
375,7767,W
376,7768,W
377,7769,M
378,7770,M
379,7771,W
380,110,W
381,7772,W
382,323,M
383,7773,W
384,611,W
385,7774,M
386,7775,M
387,1214,W
388,7776,M
389,5102,W
390,7777,W
391,7778,W
392,2357,M
393,4164,W
394,7779,W
395,7780,W
396,7781,M
397,7782,W
398,3495,M
399,7783,M
400,5660,M
401,177,M
402,7784,M
403,7785,M
404,7786,W
405,7275,W
406,788,W
407,7164,M
408,7787,W
409,6436,M
410,2119,M
411,5360,M
412,1959,W
413,565,M
414,7788,M
415,3654,W
416,7789,M
417,7790,M
418,7791,M
419,7792,M
420,3028,M
421,7793,M
422,7794,W
423,7795,W
424,1285,W
425,7796,M
426,1166,W
427,7797,M
428,7798,M
429,7799,M
430,1776,M
431,1395,M
432,5386,M
433,4042,M
434,7800,W
435,7801,W
436,7802,M
437,678,W
438,7803,M
439,806,W
440,7804,M
441,7805,W
442,6579,M
443,4403,W
444,5992,M
445,2585,M
446,7806,M
447,6816,W
448,7807,W
449,7478,M
450,7147,W
451,7808,M
452,6402,M
453,3907,M
454,7809,M
455,5826,M
456,1943,M
457,7810,W
458,5701,M
459,7811,M
460,3460,M
461,7812,M
462,7813,W
463,6423,M
464,7814,W
465,7815,M
466,7113,M
467,7816,M
468,7817,W
469,7818,M
470,7819,M
471,7820,W
472,861,M
473,988,M
474,3317,M
475,7821,W
476,7822,M
477,7823,M
478,5747,M
479,7824,W
480,3625,W
481,2457,W
482,7825,W
483,2201,M
484,4350,W
485,7826,M
486,7827,W
487,7828,W
488,4200,W
489,7829,W
490,7830,W
491,7831,W
492,7832,W
493,6832,M
494,7833,M
495,7834,M
496,4127,M
497,7835,W
498,7836,W
499,7837,M
500,7838,W
501,7839,M
502,7840,M
503,7841,W
504,7842,W
505,7843,M
506,5392,W
507,7844,M
508,3008,M
509,7845,W
510,7846,W
511,2590,W
512,1447,M
513,4569,W
514,7328,W
515,7462,W
516,7847,W
517,6133,W
518,7848,W
519,7849,W
520,5899,M
521,7850,M
522,7851,W
523,7852,W
524,7853,M
525,7854,W
526,7855,M
527,6052,M
528,7856,W
529,7857,M
530,789,W
531,3963,M
532,3065,W
533,7858,W
534,286,M
535,7859,W
536,7860,M
537,7861,M
538,3525,W
539,7124,M
540,7862,M
541,7863,M
542,7864,M
543,2183,M
544,7865,M
545,7866,M
546,7867,W
547,7868,M
548,7869,M
549,7870,W
550,2654,W
551,7871,M
552,1405,W
553,7872,M
554,3837,W
555,7873,W
556,7874,M
557,6443,W
558,4091,W
559,4266,M
560,2577,W
561,7875,M
562,2426,M
563,7876,M
564,7877,W
565,5464,M
566,7878,M
567,7879,M
568,7880,M
569,356,M
570,7881,M
571,4879,M
572,5902,W
573,7882,M
574,7883,M
575,2163,M
576,7884,M
577,7885,M
578,7886,W
579,7887,M
580,7888,M
581,7889,W
582,7890,W
583,7891,W
584,1348,W
585,722,W
586,7892,W
587,3132,M
588,7893,W
589,5444,W
590,4792,W
591,6630,M
592,2703,M
593,5926,W
594,7894,W
595,7895,M
596,6057,M
597,2353,M
598,2123,W
599,3295,M
600,414,M
601,1099,M
602,5284,M
603,7896,W
604,6699,M
605,7897,M
606,7898,W
607,7899,W
608,6477,W
609,7900,M
610,7159,M
611,7901,M
612,543,M
613,2542,W
614,7902,W
615,7903,M
616,7904,W
617,4985,W
618,7905,W
619,4205,W
620,7906,W
621,6657,W
622,2404,M
623,7907,M
624,7908,M
625,7258,M
626,2012,M
627,3209,M
628,7909,M
629,7910,M
630,7911,W
631,7912,M
632,7913,M
633,227,W
634,5285,M
635,7914,M
636,7915,M
637,7916,M
638,7917,M
639,7918,M
640,7919,W
641,7920,W
642,7921,M
643,320,W
644,6755,M
645,7922,M
646,7155,M
647,7923,M
648,7924,W
649,7925,W
650,2986,M
651,7926,M
652,7927,W
653,7928,W
654,58,M
655,133,W
656,7929,W
657,7930,M
658,3875,M
659,3349,M
660,7931,W
661,2481,W
662,7932,M
663,5850,M
664,7933,M
665,7934,M
666,7935,W
667,4946,W
668,1363,M
669,5172,M
670,7936,M
671,3085,W
672,7937,W
673,7938,W
674,7939,M
675,5577,M
676,7940,W
677,7941,M
678,3496,W
679,6647,W
680,6713,M
681,7942,W
682,7437,W
683,2133,M
684,2028,M
685,7943,M
686,3257,M
687,7944,M
688,7945,W
689,6172,M
690,7946,W
691,1210,M
692,1682,M
693,2156,W
694,7947,M
695,6938,M
696,5784,M
697,7948,W
698,7949,W
699,7950,W
700,7951,W
701,7952,M
702,7953,W
703,7954,W
704,3677,M
705,7955,M
706,7956,M
707,7957,W
708,7958,W
709,7959,W
710,7960,M
711,7961,W
712,7962,W
713,7963,M
714,2306,M
715,7964,W
716,7965,M
717,7966,W
718,7967,W
719,7968,W
720,7969,W
721,4142,W
722,7970,W
723,3131,M
724,7971,M
725,2031,M
726,5112,W
727,3973,M
728,7972,M
729,7973,W
730,7974,M
731,7975,W
732,7976,M
733,1223,M
734,6725,M
735,7977,W
736,4027,W
737,7978,W
738,7979,W
739,7980,W
740,7981,W
741,7982,W
742,6836,M
743,3010,M
744,6537,M
745,2092,M
746,7983,M
747,407,M
748,7984,W
749,7985,M
750,7986,W
751,4611,M
752,7987,M
753,7108,M
754,6033,M
755,7988,W
756,7989,M
757,2876,M
758,7990,M
759,5903,M
760,3762,W
761,7991,M
762,7992,W
763,7993,M
764,7994,M
765,7514,M
766,4911,W
767,7995,M
768,3159,W
769,7996,M
770,4642,M
771,1195,M
772,2408,M
773,7997,M
774,7998,M
775,7999,M
776,1595,W
777,4208,W
778,232,W
779,1492,M
780,8000,W
781,8001,W
782,8002,W
783,8003,M
784,8004,M
785,8005,W
786,8006,M
787,8007,W
788,2105,M
789,8008,M
790,8009,M
791,8010,W
792,8011,M
793,8012,M
794,8013,W
795,8014,M
796,8015,M
797,8016,M
798,588,W
799,8017,M
800,6182,W
801,3916,W
802,3971,M
803,7232,M
804,5861,M
805,4915,W
806,2261,M
807,8018,W
808,8019,M
809,8020,W
810,8021,W
811,8022,W
812,7314,M
813,779,M
814,8023,M
815,8024,M
816,8025,W
817,1335,M
818,675,W
819,5239,M
820,8026,M
821,8027,W
822,8028,W
823,8029,M
824,8030,M
825,8031,M
826,8032,M
827,4993,M
828,244,W
829,8033,W
830,2503,M
831,8034,W
832,3169,M
833,8035,M
834,4395,W
835,8036,W
836,8037,W
837,5633,W
838,5845,W
839,8038,W
840,1862,M
841,8,W
842,6089,W
843,4056,W
844,8039,W
845,5472,W
846,8040,W
847,5337,M
848,8041,W
849,8042,M
850,5488,M
851,8043,M
852,8044,M
853,8045,M
854,505,M
855,4270,M
856,5353,M
857,6646,W
858,8046,M
859,8047,W
860,3133,M
861,263,M
862,1306,W
863,8048,W
864,8049,W
865,6733,M
866,3925,M
867,8050,M
868,2746,M
869,8051,M
870,8052,M
871,8053,W
872,8054,W
873,2616,W
874,8055,M
875,1129,M
876,8056,M
877,8057,M
878,8058,W
879,8059,M
880,8060,M
881,8061,M
882,8062,M
883,8063,W
884,8064,W
885,943,M
886,8065,W
887,6274,M
888,4252,M
889,977,W
890,402,W
891,8066,W
892,3937,W
893,8067,W
894,5795,M
895,8068,M
896,8069,M
897,2373,M
898,8070,W
899,8071,W
900,762,M
901,2594,M
902,8072,M
903,4906,W
904,5409,W
905,8073,M
906,366,M
907,8074,W
908,8075,W
909,3099,M
910,8076,M
911,8077,M
912,6280,M
913,8078,W
914,8079,M
915,2298,W
916,637,M
917,6547,M
918,8080,W
919,6068,W
920,8081,W
921,604,W
922,1006,W
923,3259,W
924,2448,M
925,2541,M
926,8082,W
927,8083,W
928,5283,M
929,8084,M
930,8085,M
931,8086,M
932,6880,M
933,8087,M
934,8088,W
935,8089,M
936,8090,W
937,8091,W
938,8092,W
939,8093,W
940,8094,M
941,8095,M
942,8096,M
943,8097,M
944,15,M
945,8098,W
946,8099,M
947,4485,W
948,5237,M
949,8100,M
950,8101,W
951,8102,W
952,2567,M
953,8103,M
954,8104,M
955,2318,W
956,8105,W
957,8106,M
958,7030,M
959,7109,M
960,6885,W
961,8107,W
962,1266,M
963,3975,M
964,8108,M
965,5741,W
966,8109,W
967,5691,W
968,3147,M
969,4579,M
970,8110,M
971,8111,W
972,5210,M
973,2515,M
974,8112,M
975,8113,W
