mtknr,pnote,pr
768,,881
1040,200.0,47
1935,130.0,875
1391,130.0,935
1256,130.0,877
195,,137
3155,270.0,239
1581,230.0,155
514,,230
2520,,695
471,,822
1071,,742
552,330.0,34
1925,100.0,244
81,100.0,442
923,130.0,28
11,400.0,49
2245,210.0,442
2266,300.0,603
1582,,837
365,130.0,365
1733,230.0,534
3113,200.0,109
649,370.0,701
2654,200.0,175
1037,270.0,126
387,130.0,928
2128,500.0,273
683,,700
684,,166
269,,279
2485,230.0,193
8,,447
1426,200.0,872
1137,270.0,173
1364,130.0,52
1530,300.0,304
1675,130.0,666
362,,302
790,270.0,690
462,470.0,798
93,230.0,362
2752,230.0,95
3321,130.0,626
2271,,243
2885,,645
285,400.0,996
1043,,214
2617,330.0,302
2187,130.0,92
931,470.0,631
356,400.0,741
1012,200.0,663
1710,230.0,456
2733,,32
2949,,333
3248,240.0,611
1805,500.0,783
191,330.0,880
1115,100.0,275
829,,277
2070,230.0,744
293,,280
3013,230.0,230
1837,,570
1574,130.0,399
1523,240.0,1096
1737,230.0,273
1055,,223
1616,140.0,1096
333,470.0,460
147,,994
51,,177
233,,293
1875,170.0,8
2936,500.0,208
508,,667
663,500.0,397
2450,240.0,900
2649,290.0,982
3255,190.0,467
529,330.0,734
418,500.0,641
2188,400.0,408
0,,679
1120,300.0,233
1593,230.0,376
543,300.0,421
1549,500.0,224
171,500.0,536
1774,,472
2973,130.0,518
1557,200.0,672
1335,400.0,306
2054,,141
786,470.0,437
830,300.0,317
2351,200.0,441
1349,170.0,843
804,,137
2773,,288
557,,372
479,,186
281,230.0,589
2027,0.0,485
2958,200.0,733
2909,,695
1093,230.0,484
1631,100.0,660
1595,470.0,309
1153,500.0,713
879,200.0,8
1456,,824
1854,170.0,156
781,130.0,61
1308,130.0,30
1466,170.0,141
1987,100.0,474
1123,,536
1630,,176
1875,270.0,535
2428,,483
1274,200.0,110
554,230.0,210
2143,270.0,616
2864,400.0,502
1491,400.0,68
528,200.0,520
372,200.0,135
2295,200.0,443
532,,510
1108,,64
2042,300.0,64
1823,200.0,585
1841,500.0,25
1591,230.0,141
1403,400.0,132
400,160.0,322
1618,200.0,793
2655,100.0,184
2966,500.0,371
747,170.0,589
96,170.0,479
845,230.0,1059
1330,,250
1909,200.0,539
2914,200.0,733
433,230.0,931
2501,170.0,239
3214,230.0,585
91,470.0,193
2658,100.0,117
