,mtknr,frm,stgEnde,stgName,sem
36869,0,B,,OPQ,1
10252,1,B,,CD,1
2684,2,B,,OPQ,1
18820,3,B,,L,4
36851,4,B,,OPQ,1
27142,5,B,,ABCD,2
11053,6,B,X,OPQ,1
7256,7,B,,OPQ,7
8707,8,B,,CD,2
30796,9,B,,DE,7
12452,10,B,X,OPQ,1
13290,11,M,S,M,3
9638,12,B,,DE,4
21379,13,B,,L,3
30449,14,B,,WX,7
5889,15,B,,WX,6
32216,16,B,,WX,5
13650,17,B,,CD,1
2449,18,B,,OPQ,7
7457,19,B,,OPQ,7
20408,20,B,S,M,7
5204,21,B,,ABCD,6
5481,22,B,,OPQ,3
3269,23,B,,L,3
31991,24,B,,ABCD,2
24031,25,B,,M,4
887,26,M,S,M,3
36086,27,B,,CD,6
15897,28,B,,OPQ,5
19342,29,B,,DE,6
20114,30,M,,CD,3
2559,31,B,,OPQ,3
9636,12,B,,DE,2
30743,32,M,,AB,2
37800,33,B,,N,2
33615,34,B,,ZYBA,1
12421,35,B,,OPQ,4
1387,36,B,,DE,4
11048,37,B,,WX,3
35129,38,B,,OPQ,1
21546,39,B,,CD,2
9959,40,B,,M,4
6955,41,B,,CD,7
27519,42,B,,M,5
8238,43,B,,N,5
21436,44,B,,OPQ,4
34937,45,B,,ZYBA,4
1808,46,B,,M,6
3648,47,B,,OPQ,3
23275,48,B,,L,1
1460,49,B,,DE,7
36301,50,B,,L,2
38259,51,M,,Y,1
1212,52,B,,ABCD,7
36724,53,B,,ZA,2
11880,54,B,S,CD,7
17780,55,M,,Y,3
19573,56,B,,L,2
2943,57,B,,DE,1
26077,58,B,,OPQ,3
8151,59,B,,L,6
13842,60,B,,OPQ,4
29612,61,B,,M,1
29909,62,B,,OPQ,3
1853,63,B,,M,7
10663,64,B,,DE,1
24591,65,B,,WX,6
6340,66,B,,WX,4
16772,67,B,S,L,7
1068,68,M,,Y,2
38107,69,B,,L,1
17809,70,B,,M,6
38362,71,B,,OPQ,1
33931,72,B,,ZYBA,4
31969,73,B,,M,1
537,74,B,,OPQ,3
36586,75,B,,L,3
7886,76,B,,M,5
2297,77,B,,M,1
7649,78,B,,L,5
27452,79,B,,OPQ,3
4176,80,B,,WX,6
25234,81,B,,WX,1
34718,82,B,,L,5
26892,83,B,X,CD,2
36578,84,B,,ZYBA,3
28012,85,B,X,DE,2
15843,86,B,,M,7
1127,87,B,,ABCD,1
12290,88,M,,Y,2
5534,89,B,,OPQ,3
18988,90,B,,WX,5
5424,91,B,,ABCD,1
28422,92,B,,L,3
21755,93,B,,OPQ,4
31278,94,B,,CD,4
27133,95,B,,WX,5
11703,96,B,,L,6
10007,97,B,,L,1
29605,98,B,,L,6
13548,99,B,,CD,2
33723,100,B,,M,6
28589,101,B,,N,2
3452,102,B,,L,1
15997,103,B,S,ABCD,7
31320,104,B,,OPQ,3
25351,105,B,,M,7
31959,106,B,X,ABCD,2
2103,107,B,,OPQ,2
7864,108,B,,DE,6
27920,109,B,,L,6
24023,110,B,,ABCD,3
37135,111,B,X,OPQ,1
26025,112,B,,L,7
6451,113,M,,WX,3
26321,114,B,,WX,1
14856,115,B,S,L,7
20397,116,B,,M,6
33635,117,B,,L,2
15900,28,B,,OPQ,7
24838,118,B,,N,1
32665,119,B,,DE,5
22468,120,B,,ABCD,5
6336,121,B,S,WX,7
7730,122,B,,N,3
38124,123,B,,L,1
36146,124,M,,WX,2
4331,125,B,,DE,6
10357,126,B,,OPQ,6
12924,127,B,,OPQ,1
27622,128,B,,CD,1
4211,129,B,,DE,4
9784,130,B,,WX,6
23637,131,B,,OPQ,7
369,132,B,,M,7
13161,133,B,,ABCD,4
6859,134,B,,CD,1
3787,135,B,,CD,6
36510,136,B,,OPQ,3
32331,137,B,,M,3
25722,138,B,,OPQ,7
15802,139,B,,DE,5
33684,140,B,,L,2
